LASTNAME,FIRSTNAME,PLAYERID,DAVENPORTCODE,MLBCODE,RETROSHEETCODE
Enger,Donald,73833,ENGER00000000A,558231,
Swanson,Charles,73834,SWANSON00000000A,567952,
Kasper,John,73835,KASPER00000000A,560814,
Kotzin,Michael,73836,KOTZIN00000000A,561301,
Nelson,Jack,73837,NELSON00000000C,563692,
Herbert,James,73838,HERBERT00000000A,559583,
Bertrand,Michael,73839,BERTRAND00000000A,555442,
Grubb,Thomas,73840,GRUBB00000000A,558949,
Sims,Bill,73842,SIMS00000000A,567092,
Stephanos,George,73843,STEPHANOS00000000A,567692,
Lemery,Ronald,73844,LEMERY00000000A,561725,
Adelman,William,73846,ADELMAN00000000A,554522,
Beber,David,73847,BEBER00000000A,555296,
Lemmon,Edward,73848,LEMMON00000000A,561729,
Murray,Mike,73849,MURRAY00000000A,563582,
Fegen,Fred,73850,FEGEN00000000A,558443,
Miller,Joe,73851,MILLER00000000C,563121,
Grant,Herman,73852,GRANT00000000A,474129,
Howell,Edward,73853,HOWELL00000000B,560037,
Carmack,Ken,73854,CARMACK00000000A,556515,
Blessitt,Isiah,73855,BLESSITT00000000A,475692,
Hacker,Donald,73856,HACKER00000000A,559030,
Perkins,Hubert,73857,PERKINS00000000A,564426,
Davis,Bruce,73858,DAVIS00000000B,557464,
Underhill,James,73859,UNDERHILL00000000A,565463,
Schofield,Terry,73860,SCHOFIELD00000000A,475608,
Ruettiman,Gerald,73862,RUETTIMAN00000000A,566295,
Martin,Stanley,73863,MARTIN00000000B,562414,
Marcopulos,Theodore,73864,MARCOPULO00000000A,562301,
Sass,Stanley,73865,SASS00000000A,566486,
Gunter,David,73866,GUNTER00000000A,558997,
Kjorvestad,Wayne,73867,KJORVESTA00000000A,561120,
Simmers,John,73868,SIMMERS00000000A,567058,
Randall,James,73869,RANDALL00000000A,565561,
Etter,David,73870,ETTER00000000A,473882,
Danielson,Marv,73871,DANIELSON00000000A,557403,
Sauer,Gary,73872,SAUER00000000A,566493,
Stroman,Larry,73873,STROMAN00000000A,567852,
Pfau,Kenneth,73874,PFAU00000000A,564526,
Gutierrez,Mike,73875,GUTIERREZ00000000C,559011,
Hutchens,William,73876,HUTCHENS00000000A,473551,
Herring,Bobby,73877,HERRING00000000A,559619,
Kober,Tom,73878,KOBER00000000A,561213,
Cardwell,Phillip,73879,CARDWELL00000000A,556492,
Droege,Dennis,73880,DROEGE00000000A,557961,
Keyser,Thomas,73881,KEYSER00000000A,560993,
Brett,John,73882,BRETT00000000A,555929,
Smith,Donald,73884,SMITH00000000K,567249,
Williams,Leslie,73885,WILLIAMS00000000E,568854,
Casey,Howard,73886,CASEY00000000B,556614,
Slaton,Frank,73887,SLATON00000000A,567161,
Loper,Mark,73888,LOPER00000000A,561980,
Korpisch,Lawrence,73889,KORPISCH00000000A,561287,
Larson,Lee,73890,LARSON00000000A,561586,
Joyal,Frank,73891,JOYAL00000000A,560748,
Coe,C.T.,73893,COE00000000A,556851,
Silverman,Edward,73894,SILVERMAN00000000A,567050,
Goldberg,Larry,73895,GOLDBERG00000000A,569912,
Smith,Maurice,73896,SMITH00000000K,567318,
Vandevender,Frank,73897,VANDEVEND00000000A,568089,
Narron,Richard,73898,NARRON00000000A,563642,
Austin,Frank,73899,AUSTIN00000000B,554899,
Curran,Edward,73900,CURRAN00000000A,557309,
Jones,Eldon,73901,JONES00000000G,560635,
Ray,Billy,73902,RAY00000000A,565599,
Danson,Wayne,73903,DANSON00000000A,557408,
Pierce,Michael,73904,PIERCE00000000B,564591,
Grzegerek,George,73905,GRZEGEREK00000000A,558955,
Snyder,Richard,73906,SNYDER00000000A,567432,
Cott,Martin,73907,COTT00000000A,557129,
Weaver,Robert,73908,WEAVER00000000A,568492,
Moore,Curtis,73909,MOORE00000000B,563333,
Grant,Timothy,73910,GRANT00000000A,558780,
Rickey,Ralph,73911,RICKEY00000000A,474912,
Rowell,Alex,73912,ROWELL00000000A,566266,
Robinson,Robert,73913,ROBINSON00000000D,566030,
Hairston,James,73914,HAIRSTON00000000A,477039,
Maggard,Tom,73915,MAGGARD00000000A,562180,
Dickerson,Donald,73916,DICKERSON00000000B,557740,
Shelley,John,73917,SHELLEY00000000A,566910,
Johnson,Kenneth,73918,JOHNSON00000000J,560529,
Parks,John,73919,PARKS00000000A,476841,
Landis,Danny,73920,LANDIS00000000A,561523,
Gratz,Bradford,73921,GRATZ00000000A,473892,
Herson,Michael,73922,HERSON00000000A,477002,
Wang,Jeff,73923,WANG00000000A,568355,
Carter,Gordon,73924,CARTER00000000B,556578,
Langerhans,John,73925,LANGERHAN00000000A,473953,
Dudish,Andrew,73926,DUDISH00000000A,557982,
Boyett,Wade,73927,BOYETT00000000A,475992,
Suchan,Curtis,73928,SUCHAN00000000A,567877,
Boehmer,Bernie,73929,BOEHMER00000000A,555649,
Chaney,Charles,73930,CHANEY00000000A,476261,
Trapp,Richard,73931,TRAPP00000000A,565334,
Johnson,Paul,73932,JOHNSON00000000J,560550,
Compton,Clint,73933,COMPTON00000000A,556953,
Rogers,Rickey,73934,ROGERS00000000A,566120,
Sams,James,73935,SAMS00000000A,477014,
Herrmann,Conrad,73936,HERRMANN00000000A,475240,
Lash,William,73937,LASH00000000A,561593,
Harbin,John,73938,HARBIN00000000A,559241,
Lenard,Richard,73939,LENARD00000000A,561736,
Pederson,Jeff,73940,PEDERSON00000000A,564365,
Cavanaugh,Michael,73941,CAVANAUGH00000000A,474128,
Cowgill,Allen,73942,COWGILL00000000A,557161,
Blosse,Raymond,73943,BLOSSE00000000A,476645,
Kitchell,Mark,73944,KITCHELL00000000A,561113,
Dodson,Alan,73945,DODSON00000000A,557833,
Tingle,Steven,73946,TINGLE00000000A,565234,
Mansfield,Larry,73947,MANSFIELD00000000A,476831,
Kogut,Steven,73948,KOGUT00000000A,561230,
Covert,Dan,73949,COVERT00000000A,557154,
Schwartz,Alan,73950,SCHWARTZ00000000B,566693,
Marine,Mike,73951,MARINE00000000A,562314,
Hansen,Richard,73952,HANSEN00000000A,559223,
May,Edward,73953,MAY00000000A,476332,
Deck,Dennis,73954,DECK00000000A,476563,
Roe,Michael,73955,ROE00000000A,474822,
Rutkowski,Ken,73956,RUTKOWSKI00000000A,566347,
Castellar,Thomas,73957,CASTELLAR00000000A,570032,
McVay,Dick,73958,MCVAY00000000A,562885,
Collins,Allen,73959,COLLINS00000000C,476557,
Lucas,William,73960,LUCAS00000000A,562050,
Shaw,Larry,73961,SHAW00000000A,477189,
Reid,Roger,73962,REID00000000A,565703,
Bowers,Allen,73963,BOWERS00000000B,555789,
Wallin,Dennis,73964,WALLIN00000000A,568319,
Upstone,Edward,73965,UPSTONE00000000A,565477,
Wittum,Thomas,73966,WITTUM00000000A,569027,
Winn,Harvey,73967,WINN00000000A,568988,
Horn,Kerry,73968,HORN00000000A,559948,
Sagaser,David,73970,SAGASER00000000A,476979,
Crespo,Manuel,73971,CRESPO19500901A,474532,
Masteller,Robeert,73972,MASTELLER00000000A,476497,
Grant,John,73973,GRANT00000000A,475339,
Auger,Robert,73974,AUGER00000000A,474315,
Howell,John,73975,HOWELL00000000B,476495,
Burns,John,73976,BURNS19660903A,467225,
Halfman,Peter,73977,HALFMAN00000000A,559079,
Wurkits,Richard,73978,WURKITS00000000A,569179,
Dehn,Gregory,73980,DEHN00000000A,477238,
Faix,Albert,73981,FAIX00000000A,476499,
Giesler,Robert,73982,GIESLER00000000A,476406,
Richardson,Randolph,73983,RICHARDSO00000000A,565839,
Morris,Avery,73984,MORRIS00000000C,563420,
Impliazzo,Thomas,73985,IMPLIAZZO00000000A,560219,
Fisher,Frank,73986,FISHER00000000D,474808,
Stripling,Jackie,73987,STRIPLING19490518A,476216,
Copeland,Howell,73988,COPELAND00000000B,557042,
Pavlick,Greg,73989,PAVLICK19500310A,494874,pavlg801
Barkauskas,Joe,73990,BARKAUSKA00000000A,555103,
Napolitano,Richard,73991,NAPOLITAN00000000A,563640,
Grotelueschen,Lee,73992,GROTELUES00000000A,477225,
Richmond,Harold,73993,RICHMOND00000000A,565848,
Van Volkenburg,David,73994,VAN VOLKE00000000A,568072,
Hart,Danny,73995,HART00000000A,559358,
Freeman,Phillip,73997,FREEMAN00000000B,569458,
James,Collis,73998,JAMES00000000A,560360,
McDermott,Thomas,73999,MCDERMOTT00000000B,562676,
Roatche,John,74000,ROATCHE00000000A,565933,
Jacobson,Gary,74001,JACOBSON00000000A,560343,
Busen,Daryl,74002,BUSEN00000000A,556307,
Kurtzman,Harold,74003,KURTZMAN00000000A,561411,
Leonard,Marvin,74004,LEONARD00000000B,561748,
Bacak,Edward,74005,BACAK00000000A,475816,
Hoellwarth,Raylan,74006,HOELLWART00000000A,559811,
Denning,Patrick,74007,DENNING00000000A,476702,
Johnson,Cecil,74009,JOHNSON00000000J,560463,
Tassa,Gerald,74011,TASSA00000000A,564974,
Goldstone,Edward,74012,GOLDSTONE00000000A,569919,
Niles,Randy,74013,NILES00000000A,563801,
Hoelzer,William,74014,HOELZER00000000A,475840,
Massaro,Leonard,74015,MASSARO00000000A,475167,
Biercevicz,Joseph,74016,BIERCEVIC00000000A,555496,
Evans,Tim,74017,EVANS00000000B,558335,
Hemenway,Ted,74018,HEMENWAY00000000A,475634,
Handel,Roy,74019,HANDEL00000000A,559189,
Pierce,Jack,74020,PIERCE00000000B,564588,
Schubert,Greg,74021,SCHUBERT00000000A,566656,
Williams,Andrew,74022,WILLIAMS00000000E,568810,
Shebesta,James,74023,SHEBESTA00000000A,566893,
Clarke,Bruce,74024,CLARKE00000000A,556783,
Barlew,Frank,74025,BARLEW00000000A,555111,
Harvey,Phillip,74027,HARVEY00000000A,559389,
McCord,Gilbert,74028,MCCORD00000000A,474080,
Williamson,Carl,74029,WILLIAMSO00000000A,568900,
Brooks,Mike,74032,BROOKS00000000B,473792,
McKinley,Richard,74033,MCKINLEY00000000A,562786,
Hyde,John,74034,HYDE00000000A,560198,
Hebert,Lawrence,74035,HEBERT00000000A,475480,
Baird,Edward,74036,BAIRD00000000B,554979,
Tatum,Patrick,74037,TATUM00000000A,564982,
Alfonso,Carlos,74038,ALFONSO19501218A,429661,alfoc801
Ramirez,Alonzo,74039,RAMIREZ00000000I,565544,
Conlin,Ken,74041,CONLIN00000000A,556966,
Bittner,Larry,74042,BITTNER00000000A,555536,
Borowicz,Ray,74043,BOROWICZ00000000A,555739,
Lightfoot,Lloyd,74044,LIGHTFOOT00000000A,561826,
Cole,Wilbur,74045,COLE00000000B,476532,
Street,Edward,74046,STREET00000000A,476452,
Jackson,Lawrence,74047,JACKSON00000000A,476991,
Henrichs,Don,74048,HENRICHS00000000A,559567,
Bradshaw,Gary,74049,BRADSHAW00000000A,474083,
Haney,Keith,74050,HANEY00000000A,559194,
Picard,Donald,74051,PICARD00000000A,564571,
O'Banion,Michael,74052,O'BANION00000000A,563884,
Koeppel,Bob,74053,KOEPPEL00000000A,561229,
Barnes,Kenneth,74054,BARNES00000000A,474746,
Hanzlik,Steven,74055,HANZLIK00000000A,559239,
Geitz,William,74057,GEITZ00000000A,476882,
Quinones,Jose,74058,QUINONES00000000B,474769,
Kopps,Henry,74059,KOPPS00000000A,561276,
Kiely,James,74060,KIELY00000000A,561007,
Eichelberger,Nicholas,74061,EICHELBER00000000A,558147,
Oglesby,Ronald,74062,OGLESBY00000000A,476005,
Nichols,Tom,74063,NICHOLS00000000A,563767,
Grove,Mark,74064,GROVE00000000A,475579,
Caudell,William,74065,CAUDELL00000000A,474114,
Ziegler,James,74066,ZIEGLER00000000A,569325,
Stohs,Gene,74067,STOHS00000000A,567777,
Yeargan,Henry,74068,YEARGAN00000000A,569218,
Land,Charles,74069,LAND00000000A,594509,
Oliver,Richard,74071,OLIVER00000000A,475537,
Fratto,Thomas,74072,FRATTO00000000A,474775,
Tielke,Arnold,74073,TIELKE00000000A,565220,
Noble,Roger,74074,NOBLE00000000A,563812,
Nelson,Brian,74075,NELSON00000000C,563685,
Dittmat,Thomas,74076,DITTMAT00000000A,557797,
Redmon,James,74077,REDMON00000000A,476023,
Taylor,Scott,74078,TAYLOR00000000F,565010,
Morrison,Mike,74079,MORRISON00000000B,563444,
Basterrechea,Jose,74080,BASTERREC00000000A,555212,
Rutledge,Terry,74081,RUTLEDGE00000000A,566351,
Wall,Harold,74082,WALL00000000B,568298,
Overmiller,Robert,74083,OVERMILLE00000000A,564094,
Pugh,Stuart,74084,PUGH00000000A,564886,
Murnahan,Phillip,74085,MURNAHAN00000000A,563544,
Roos,Lester,74086,ROOS00000000A,566176,
Clements,Rickie,74087,CLEMENTS00000000B,556798,
Pratt,Tom,74088,PRATT00000000A,564792,
Bankhorn,Cecil,74089,BANKHORN00000000A,555072,
Rothschild,Sylvan,74090,ROTHSCHIL00000000A,566247,
Entrekin,David,74092,ENTREKIN00000000A,558249,
Coleman,Vincent,74094,COLEMAN00000000C,474921,
Berry,Garrett,74095,BERRY00000000A,555429,
Cordaro,Frank,74096,CORDARO00000000A,557063,
Schafer,Gary,74097,SCHAFER00000000A,566550,
Johnson,Howard,74098,JOHNSON00000000J,560495,
Mannerino,Frank,74100,MANNERINO00000000A,562264,
Walker,Charles,74101,WALKER00000000C,568261,
Clowers,Wendall,74102,CLOWERS00000000A,556830,
McDaniel,Robert,74103,MCDANIEL00000000A,475248,
Willard,Frederick,74104,WILLARD00000000A,568800,
Baltzer,Dana,74105,BALTZER00000000A,555055,
Hahn,Sherwood,74107,HAHN00000000A,559058,
Henderson,Donald,74108,HENDERSON00000000B,559529,
Coker,Jerry,74109,COKER00000000A,474061,
Howell,Damion,74110,HOWELL00000000B,560033,
Flint,Robert,74111,FLINT00000000A,558620,
West,Kim,74112,WEST00000000A,568598,
Commando,Paul,74113,COMMANDO00000000A,556948,
Martin,Todd,74114,MARTIN00000000B,562419,
Cole,Robert,74115,COLE00000000B,476295,
Williams,Terry,74116,WILLIAMS00000000E,568887,
Dempsey,Ken,74117,DEMPSEY00000000A,557645,
Mastin,Paul,74118,MASTIN00000000A,562486,
Burr,Clinton,74119,BURR00000000A,473686,
Sonneman,Pat,74120,SONNEMAN00000000A,567454,
Port,Jeff,74121,PORT00000000A,564729,
Little,Grady,74122,LITTLE00000000B,561868,
Janek,Jeffrey,74123,JANEK00000000A,560374,
Brooks,Rudolph,74124,BROOKS00000000B,556001,
Roth,Robert,74125,ROTH00000000B,566242,
Cunningham,Robert,74126,CUNNINGHA00000000B,557296,
Hubbard,Robert,74127,HUBBARD00000000A,560069,
Dreier,Doug,74128,DREIER00000000A,557941,
Propson,Richard,74129,PROPSON00000000A,473949,
Tokash,Frank,74131,TOKASH00000000A,565267,
Campbell,Rex,74133,CAMPBELL00000000A,556440,
Arendt,Paul,74134,ARENDT00000000A,554791,
Gurganus,John,74136,GURGANUS00000000A,559000,
Wilmet,Steve,74137,WILMET00000000A,568925,
Boans,Curtis,74138,BOANS00000000A,555623,
Saunders,Ronnie,74139,SAUNDERS00000000A,566506,
Brown,Arthur,74140,BROWN00000000E,477077,
Perry,Richard,74141,PERRY00000000B,564457,
Hetzler,Darrel,74142,HETZLER00000000A,559651,
Hurt,Richard,74143,HURT00000000A,560182,
Spriggs,Johnny,74144,SPRIGGS00000000A,567554,
Rogers,Harry,74145,ROGERS00000000A,566106,
Malloney,James,74146,MALLONEY00000000A,474988,
Welsh,Robert,74147,WELSH00000000A,474505,
Fast,Thomas,74148,FAST00000000B,558422,
Cornell,Kenneth,74149,CORNELL00000000A,557087,
Horn,Spencer,74150,HORN00000000A,559952,
Douglas,Mike,74151,DOUGLAS00000000A,557910,
Brown,William,74152,BROWN00000000E,556099,
Carroll,Leonard,74153,CARROLL00000000A,556555,
Cooley,Stephen,74154,COOLEY00000000A,557016,
Snow,David,74155,SNOW00000000A,567419,
Choate,Lee,74156,CHOATE00000000A,475742,
Shaps,Robert,74157,SHAPS00000000A,473853,
Kelley,Calvin,74158,KELLEY00000000A,560886,
Adams,Roy,74159,ADAMS00000000C,554511,
Hines,Charles,74160,HINES00000000A,559763,
Hamm,Walter,74161,HAMM00000000A,559156,
Lang,Robert,74162,LANG00000000A,476648,
Sweetland,Don,74164,SWEETLAND00000000A,567968,
Heinrich,Thomas,74165,HEINRICH00000000A,570111,
Johnston,Robert,74166,JOHNSTON00000000A,560595,
Majdoch,Gary,74167,MAJDOCH00000000A,474920,
LaFrance,Robert,74169,LAFRANCE00000000A,561459,
Greer,George,74170,GREER19461018A,493026,
Collins,Michael,74171,COLLINS00000000C,556921,
House,Harley,74172,HOUSE00000000A,559986,
Peden,Michael,74173,PEDEN00000000A,564363,
Cluney,Patrick,74174,CLUNEY00000000A,475284,
Nelson,Fred,74175,NELSON00000000C,563689,
Townson,Charles,74176,TOWNSON00000000A,476459,
Shutts,Robert,74177,SHUTTS00000000A,567011,
Manz,George,74178,MANZ00000000A,562283,
Keister,Robert,74179,KEISTER00000000A,560869,
Brelsford,Jeffrey,74181,BRELSFORD00000000A,555918,
Hansen,William,74182,HANSEN00000000A,559227,
Gurp,Tim,74183,GURP00000000A,559003,
LaRusso,James,74184,LARUSSO00000000A,561589,
Stampe,Bob,74185,STAMPE00000000A,567607,
Downey,Darrell,74186,DOWNEY00000000A,557923,
Keeter,Lonnie,74187,KEETER00000000A,474323,
Penn,John,74188,PENN00000000A,564392,
Ingram,William,74189,INGRAM00000000A,560229,
Clabo,Rodney,74190,CLABO00000000A,556747,
Carpenter,Jeff,74191,CARPENTER00000000A,556530,
Stout,Jeff,74192,STOUT00000000A,567811,
Hobgood,Jimmy,74193,HOBGOOD00000000A,476076,
Ostebo,Robin,74194,OSTEBO00000000A,564071,
Davidson,Ralph,74195,DAVIDSON00000000A,557446,
Groves,Mike,74196,GROVES00000000A,558947,
Tipton,Larry,74197,TIPTON00000000A,565241,
Brigham,Daniel,74198,BRIGHAM00000000A,475183,
Carr,Gerald,74199,CARR00000000A,556537,
Bryand,Theodore,74200,BRYAND00000000A,556136,
Lail,Bobby,74201,LAIL00000000A,561473,
Brown,Phil,74202,BROWN00000000E,556077,
Faria,Samuel,74203,FARIA00000000A,558394,
Horton,Robert,74204,HORTON00000000A,559966,
Rockwood,Matthew,74205,ROCKWOOD00000000A,566057,
Farley,Ben,74206,FARLEY00000000A,558399,
Jordan,Curtis,74207,JORDAN00000000A,560721,
Goodwin,Scott,74208,GOODWIN00000000A,558700,
Massingill,Augusta,74209,MASSINGIL00000000A,562483,
Baasse,James,74210,BAASSE00000000A,554927,
Siani,Mike,74211,SIANI00000000A,567012,
Gilje,Ted,74212,GILJE00000000A,569789,
Gibson,George,74213,GIBSON00000000A,594495,
Heck,Danny,74214,HECK00000000A,559483,
Vollweiler,Jeffrey,74215,VOLLWEILE00000000A,568208,
McFarland,Steve,74216,MCFARLAND19500330A,475619,
Finch,Leonard,74217,FINCH00000000A,558533,
Maltsberger,Robert,74218,MALTSBERG00000000A,562238,
Cirasuolo,Constantine,74219,CIRASUOLO00000000A,556744,
Kleckley,James,74220,KLECKLEY00000000A,475677,
Brooks,Kenny,74221,BROOKS00000000B,473875,
Micheletti,Robert,74222,MICHELETT00000000A,563070,
Pivec,Michael,74223,PIVEC00000000A,564652,
Bekeza,Pat,74224,BEKEZA00000000A,555330,
Perteler,Barry,74225,PERTELER00000000A,564466,
Gaumont,Guy,74226,GAUMONT00000000A,473946,
Grate,Donald,74227,GRATE19460617A,594497,
Severs,John,74228,SEVERS00000000A,566825,
Hefferon,Alan,74229,HEFFERON00000000A,559487,
Ontiveros,Edward,74230,ONTIVEROS00000000A,564018,
Gilmore,Vernon,74231,GILMORE00000000A,569817,
Rich,James,74232,RICH00000000B,565820,
Hayward,Donald,74233,HAYWARD00000000A,559455,
Adolph,Mose,74234,ADOLPH00000000A,554537,
McQueen,Berry,74235,MCQUEEN00000000A,562878,
Urbanovich,Joseph,74236,URBANOVIC00000000A,475187,
Locanto,Patrick,74237,LOCANTO00000000A,561898,
Addeo,Gary,74238,ADDEO00000000A,554515,
Williams,Benjamin,74239,WILLIAMS00000000E,568812,
Pommes,Rod,74240,POMMES00000000A,564709,
Zahn,Paul,74241,ZAHN00000000A,569280,
Rolandson,Russ,74242,ROLANDSON00000000A,566138,
Balne,Douglas,74243,BALNE00000000A,555051,
Amendola,Anthony,74244,AMENDOLA00000000A,554676,
Hansen,David,74245,HANSEN00000000A,474968,
Addonizo,Frank,74246,ADDONIZO00000000A,554518,
Turigliatto,Steven,74247,TURIGLIAT00000000A,474793,
Arnold,Mark,74248,ARNOLD00000000A,554825,
Hager,Don,74249,HAGER00000000A,559043,
Pollreisz,Terry,74250,POLLREISZ19470103A,492883,
Anderson,Brooks,74251,ANDERSON00000000F,554695,
Sandate,Richard,74252,SANDATE00000000A,566440,
Lobb,Alan,74253,LOBB00000000A,561895,
Whalan,Thomas,74254,WHALAN00000000A,568627,
Bosley,Robert,74255,BOSLEY00000000A,476395,
Coultas,Robert,74256,COULTAS00000000A,557142,
Tate,Gene,74257,TATE00000000A,564978,
Siereveld,Gregory,74258,SIEREVELD00000000A,474286,
Kleinholz,Robert,74259,KLEINHOLZ00000000A,561145,
Nye,Richard,74260,NYE00000000A,474259,
Hansen,James,74261,HANSEN00000000A,477073,
Livingston,Cary,74262,LIVINGSTO00000000B,561881,
Crim,Michael,74263,CRIM00000000A,557221,
Vierra,Ernest,74264,VIERRA00000000A,568165,
Lee,Bill,74265,LEE00000000E,561673,
Young,Wayne,74266,YOUNG00000000B,569266,
Elvrom,Mason,74267,ELVROM00000000A,558204,
Euler,John,74268,EULER00000000A,476529,
Lange,Ken,74269,LANGE00000000A,561546,
Copeland,Danny,74270,COPELAND00000000B,557040,
Lear,Gary,74271,LEAR00000000A,476100,
Taylor,Ron,74272,TAYLOR00000000F,482203,
Tagge,Jerry,74273,TAGGE00000000A,564947,
Franklin,Dennis,74274,FRANKLIN00000000B,569414,
Schutzius,Larry,74275,SCHUTZIUS00000000A,566688,
Carnutt,Ronald,74276,CARNUTT00000000A,556525,
Mahlmann,Richard,74277,MAHLMANN00000000A,562192,
West,Keith,74278,WEST00000000A,568597,
Fiene,John,74279,FIENE00000000A,474258,
Hartig,Mark,74280,HARTIG00000000A,475669,
Cech,Pat,74281,CECH00000000A,556679,
Moss,John,74282,MOSS00000000A,476125,
Misko,Daniel,74283,MISKO00000000A,563220,
Gibble,Robert,74284,GIBBLE00000000A,569750,
Jones,Darrell,74285,JONES00000000G,560626,
Hefflinger,Jim,74286,HEFFLINGE00000000A,559488,
Guggia,Milton,74287,GUGGIA00000000A,558975,
Bozeman,Douglas,74288,BOZEMAN00000000A,555830,
McEntire,William,74289,MCENTIRE00000000A,562701,
Beringer,Randy,74290,BERINGER00000000A,555415,
Wamble,Ken,74291,WAMBLE00000000A,568353,
Janes,Charles,74292,JANES00000000A,560375,
Winters,Van,74293,WINTERS00000000B,569000,
Tate,Jonathan,74294,TATE00000000A,564979,
Bashford,Larry,74295,BASHFORD00000000A,474245,
Taylor,Merle,74296,TAYLOR00000000F,476082,
Hemerick,Buryl,74297,HEMERICK00000000A,559522,
Petrock,John,74298,PETROCK00000000A,564507,
Puryear,Billy,74299,PURYEAR00000000A,473791,
Howard,Gary,74300,HOWARD00000000A,560018,
Miller,Doug,74301,MILLER00000000C,563113,
Patterson,Paul,74302,PATTERSON00000000C,564305,
Tschopp,Mark,74303,TSCHOPP00000000A,565379,
Canty,John,74304,CANTY00000000A,556466,
Reid,David,74305,REID00000000A,473734,
Sowinski,Thomas,74306,SOWINSKI00000000A,567483,
McCarty,Mickey,74307,MCCARTY00000000B,562621,
Conover,John,74308,CONOVER00000000A,556978,
Kuehner,Pat,74309,KUEHNER00000000A,561383,
Conboy,Gary,74310,CONBOY00000000A,556956,
Robertson,Larry,74312,ROBERTSON00000000B,565987,
Romero,Stephen,74313,ROMERO00000000G,566162,
Wendorf,Gregory,74315,WENDORF00000000A,473961,
Laborio,Edward,74317,LABORIO00000000A,561434,
Bryant,Gerald,74318,BRYANT00000000A,556146,
Hoepfinger,Robert,74319,HOEPFINGE00000000A,559812,
DeWald,Terry,74320,DEWALD00000000A,557715,
Monroe,Richard,74322,MONROE00000000A,563298,
Baxter,Robert,74323,BAXTER00000000A,555256,
Fahsbender,Steve,74324,FAHSBENDE00000000A,558370,
Muck,Webster,74325,MUCK00000000A,563502,
Guarnera,Richard,74326,GUARNERA00000000A,558962,
Scruggs,Keith,74327,SCRUGGS00000000A,566742,
Zaskoda,Wayne,74328,ZASKODA00000000A,569297,
Collier,Ronald,74329,COLLIER00000000A,556906,
Loomer,Daniel,74330,LOOMER00000000A,561977,
Davis,Russell,74331,DAVIS00000000B,557515,
Spanich,Stephen,74332,SPANICH00000000A,474990,
Sikes,Herbert,74333,SIKES00000000A,567036,
Lolos,Thomas,74334,LOLOS00000000A,473938,
Campanario,Joseph,74335,CAMPANARI00000000A,556423,
Bevil,John,74336,BEVIL00000000A,555468,
Croken,William,74337,CROKEN00000000A,557237,
Stitzel,Glenn,74338,STITZEL00000000A,567763,
Jachym,James,74339,JACHYM00000000A,560273,
Bove,Harmon,74340,BOVE00000000A,555778,
Hagen,Frank,74341,HAGEN00000000A,473655,
Robson,Gary,74342,ROBSON00000000A,566045,
Warden,Harold,74344,WARDEN00000000A,475430,
Tarver,Larry,74345,TARVER00000000A,564972,
Sooter,Rodney,74346,SOOTER00000000A,567456,
White,Craig,74347,WHITE00000000A,568665,
Walters,Jimmy,74349,WALTERS00000000A,568341,
Kiefer,John,74350,KIEFER00000000A,561005,
Balogh,Mike,74351,BALOGH00000000A,555053,
Murphy,Donald,74352,MURPHY00000000E,563550,
Lopinot,Mark,74353,LOPINOT00000000A,561995,
Ward,Roger,74354,WARD00000000B,568378,
Murphy,Daniel,74355,MURPHY00000000E,563547,
Renhow,John,74356,RENHOW00000000A,565737,
Fox,John,74357,FOX00000000B,569395,
Bender,Julius,74358,BENDER00000000A,474975,
Schwartz,Richard,74359,SCHWARTZ00000000B,566697,
Law,Richard,74360,LAW00000000A,561621,
Graff,Harold,74361,GRAFF00000000B,558750,
Girodano,Anthony,74362,GIRODANO00000000A,569839,
Blanchard,John,74363,BLANCHARD00000000A,555582,
Schroeder,John,74365,SCHROEDER00000000A,566647,
Mindell,John,74366,MINDELL00000000A,563196,
Finkbeiner,Bruce,74367,FINKBEINE00000000A,558548,
Bryan,Thomas,74368,BRYAN00000000A,473756,
Koski,Michael,74369,KOSKI00000000A,561294,
Zbercot,John,74370,ZBERCOT00000000A,569306,
Skalski,Felix,74372,SKALSKI00000000A,567133,
Covey,Charles,74373,COVEY00000000A,557155,
Henrickson,Ernie,74374,HENRICKSO00000000A,559569,
Doyle,David,74375,DOYLE00000000A,557930,
Keigley,Charles,74376,KEIGLEY00000000A,560864,
Wissler,Bob,74377,WISSLER00000000A,569017,
Saenz,Frank,74378,SAENZ00000000B,566394,
Yelvington,Elmer,74379,YELVINGTO00000000A,569222,
Grout,Stanley,74380,GROUT00000000A,476060,
Kechura,James,74381,KECHURA00000000A,560846,
Malone,John,74382,MALONE00000000B,562231,
Schoebridge,Lionel,74383,SCHOEBRID00000000A,566621,
Kelley,James,74384,KELLEY00000000A,560888,
Starman,Paul,74385,STARMAN00000000A,476316,
Edwards,Phil,74386,EDWARDS00000000C,558127,
Corley,Kent,74387,CORLEY00000000A,557079,
Lohse,Lary,74388,LOHSE00000000A,561933,
Davsko,John,74389,DAVSKO00000000A,557532,
Szoke,Frank,74391,SZOKE00000000A,568013,
Devins,Jerry,74392,DEVINS00000000A,474805,
Powers,Clifford,74393,POWERS00000000A,564780,
Pogonelski,John,74394,POGONELSK00000000A,564685,
Hallberg,Walter,74395,HALLBERG00000000A,474814,
Richards,Albert,74396,RICHARDS00000000A,474739,
Barefoot,Larry,74397,BAREFOOT00000000A,555095,
